id,member_id,ssn,first_name,last_name,gender,race,language,phone,email,address_line_1,address_line_2,city,state,zip,existing_conditions
1,83-017-2657,599-63-0106,Fran,Doddemeede,,Lumbee,Bengali,,,0 Paget Court,9,Burbank,California,91505,
2,19-517-4833,128-52-7790,Ario,Late,Female,,,717-292-9114,alate1@google.pl,340 Gina Lane,98832,Harrisburg,Pennsylvania,17121,FALSE
3,32-957-9088,,Justino,Hinks,Female,Bolivian,,,jhinks2@mashable.com,8 Sunbrook Crossing,,Norfolk,Virginia,23504,FALSE
4,92-618-4434,,Christos,Cardon,Male,Native Hawaiian,,805-689-9110,ccardon3@smugmug.com,48 Butterfield Drive,,Simi Valley,California,93094,
5,73-510-7686,,Yovonnda,Fennessy,,,,,,053 Melvin Parkway,,New York City,New York,10270,
6,85-150-8848,,Kipp,Loyns,Male,American Indian and Alaska Native (AIAN),Dzongkha,518-513-8364,,02 Forest Run Place,,Albany,New York,12247,TRUE
7,53-005-8491,879-38-7174,Linn,Plumbridge,,,,,,03 Lindbergh Avenue,,Brooklyn,New York,11254,
8,86-505-7230,350-54-1148,Bessy,McDavitt,Female,Chickasaw,Belarusian,,,553 Fairview Street,,Philadelphia,Pennsylvania,19125,
9,73-697-4342,,Claresta,Phinn,Male,,,,cphinn8@mozilla.com,68826 Schurz Point,204,New York City,New York,10105,
10,28-579-4491,,Lydie,Tapply,,,Dutch,,,9747 Pine View Park,,Brooklyn,New York,11205,FALSE
11,74-806-0062,,Tan,Della Scala,Male,Chickasaw,,202-746-9323,,56474 Melvin Center,98,Alexandria,Virginia,22309,
12,65-436-0481,,Allina,Lefwich,,Comanche,,412-192-4060,alefwichb@moonfruit.com,5781 Corscot Place,,Pittsburgh,Pennsylvania,15250,TRUE
13,14-737-9909,,Dian,Goulder,,,Gagauz,209-526-5094,dgoulderc@cbslocal.com,13383 Waxwing Lane,6126,Fresno,California,93704,
14,81-323-5252,379-99-7115,Giuditta,Dennick,,Mexican,,,gdennickd@baidu.com,93 Bultman Parkway,,Lancaster,Pennsylvania,17622,
15,72-105-5976,341-10-5622,Nikolia,Keyte,Male,Paraguayan,,,nkeytee@amazon.de,1281 Bay Pass,8,New York City,New York,10150,
16,99-365-8835,852-69-2396,Godiva,Bernhart,Male,,,831-413-5716,,810 Oriole Circle,,Salinas,California,93907,
17,28-077-8563,342-49-1118,Johnette,Nuschke,,,,203-903-6078,jnuschkeg@utexas.edu,284 Colorado Junction,,Danbury,Connecticut,6816,
18,81-179-0584,,Cullan,Borthram,Male,,,316-613-4344,cborthramh@odnoklassniki.ru,087 Granby Drive,,Wichita,Kansas,67260,
19,88-366-6355,143-21-5325,Danell,Sprasen,,,,212-165-8991,dspraseni@ezinearticles.com,603 Marcy Circle,,New York City,New York,10184,
20,87-118-7529,,Hortensia,Ilott,Female,,Arabic,,,527 Florence Park,2,Newport News,Virginia,23605,TRUE
21,24-027-4656,,Tobias,Lethcoe,Male,Spaniard,,,tlethcoek@wikipedia.org,7005 Prairie Rose Way,,Denver,Colorado,80291,
22,60-203-6538,260-74-9686,Allsun,Wharram,,,Indonesian,913-913-7444,awharraml@narod.ru,4 Hazelcrest Street,,Shawnee Mission,Kansas,66286,
23,24-488-0630,574-76-7586,Lilith,Gaishson,,,Icelandic,,lgaishsonm@elpais.com,0588 Dwight Lane,,Pasadena,California,91186,
24,15-191-5858,,Anne-corinne,Feldheim,Male,,Kazakh,719-826-1929,afeldheimn@google.com.br,809 Tennyson Point,,Colorado Springs,Colorado,80930,
25,45-038-4752,,Brandy,Toffel,Male,Iroquois,Dari,814-556-2310,btoffelo@yahoo.com,17 Coleman Drive,,Erie,Pennsylvania,16565,
26,29-486-7111,,Nanny,Jamot,Male,Yakama,Swahili,,njamotp@webnode.com,84 Roxbury Place,2869,Sacramento,California,94273,TRUE
27,01-540-5932,,Samaria,Kennaird,Female,Pima,,209-577-9979,skennairdq@list-manage.com,99 Redwing Drive,181,Fresno,California,93715,FALSE
28,87-389-8777,718-23-9825,Myron,Milthorpe,,,,,mmilthorper@example.com,2901 Dapin Junction,,Sterling,Virginia,20167,
29,38-964-4985,,Veronika,Bascomb,,Polynesian,,,vbascombs@booking.com,22170 Talmadge Court,,Boulder,Colorado,80305,
30,30-871-1215,700-36-1639,Gabbey,Braunfeld,Male,,,,,55 Moland Plaza,,Aurora,Colorado,80045,
31,73-523-6460,673-44-7265,Beltran,Sanchez,Female,,German,,,26733 Pine View Center,,Springfield,Virginia,22156,
32,83-561-1731,862-17-0244,Paddy,Welsh,Male,Spaniard,,,pwelshv@si.edu,0 Kensington Pass,,Colorado Springs,Colorado,80930,
33,01-295-0132,315-82-5240,Zitella,Crumpe,Female,,,,zcrumpew@blogspot.com,7782 Eagle Crest Terrace,,Brooklyn,New York,11210,
34,15-301-1063,,Chaddie,Hullot,Female,Panamanian,Czech,215-244-6490,,4 Judy Parkway,,Philadelphia,Pennsylvania,19178,
35,55-893-4931,811-34-6301,Lilias,Birchner,,Menominee,Czech,,lbirchnery@buzzfeed.com,15965 Memorial Place,,Rochester,New York,14604,
36,54-856-6361,,Arlyne,Kienl,Male,,,571-274-4284,,71 Jenna Drive,490,Reston,Virginia,22096,
37,84-395-6683,637-28-9552,Carlota,Sille,,Pueblo,Montenegrin,,csille10@gnu.org,15 Parkside Way,50148,New York City,New York,10155,
38,42-573-7268,,Mel,Hutcheson,Male,Comanche,,804-151-2837,,53 Mesta Way,,Richmond,Virginia,23237,
39,38-074-5117,,Lucine,Warby,Female,,,,lwarby12@alexa.com,9554 Spenser Road,93,Oakland,California,94622,
40,42-071-1125,700-45-1730,Melisande,Meagher,Female,,,,,4602 Upham Alley,,Erie,Pennsylvania,16565,
41,16-441-4816,821-18-1377,Milissent,Peyzer,,South American,,719-889-8244,mpeyzer14@bizjournals.com,992 Lindbergh Pass,,Colorado Springs,Colorado,80905,FALSE
42,61-852-6853,,Ivor,Mee,Female,,,,imee15@nymag.com,3159 Bowman Plaza,21,Richmond,Virginia,23203,
43,12-604-3418,876-79-1881,Chere,Howlings,,,Bengali,,chowlings16@mozilla.com,8 Del Mar Lane,,Grand Junction,Colorado,81505,
